variant,module,routing_similarity_rs,jaccard_drift,overlap_at_k,selection_shift,num_rows
int8,model.layers.42.mlp.gate,0.9358118189000215,0.06418818109997848,0.9630055147058824,0.03699448529411764,7616.0
int8,model.layers.43.mlp.gate,0.9340586700880475,0.06594132991195245,0.9621684611344538,0.037831538865546244,7616.0
int8,model.layers.44.mlp.gate,0.9393863081362718,0.060613691863728225,0.965483849789916,0.03451615021008403,7616.0
int8,model.layers.45.mlp.gate,0.9316301753801414,0.06836982461985863,0.9608226102941176,0.03917738970588236,7616.0
int8,model.layers.46.mlp.gate,0.9363582554233488,0.06364174457665117,0.9634814863445378,0.036518513655462215,7616.0
int8,model.layers.47.mlp.gate,0.9510120190266961,0.048987980973303924,0.9719997373949579,0.02800026260504207,7616.0
int8,model.layers.5.mlp.gate,0.9388655462184525,0.06113445378154747,0.9652212447478992,0.034778755252100835,7616.0
int8,model.layers.6.mlp.gate,0.9289162634750516,0.07108373652494837,0.9592305672268907,0.04076943277310929,7616.0
int8,model.layers.7.mlp.gate,0.937881970970174,0.062118029029825994,0.964515493697479,0.03548450630252098,7616.0
int8,model.layers.8.mlp.gate,0.9338463415668916,0.06615365843310839,0.9623982405462185,0.037601759453781525,7616.0
int8,model.layers.9.mlp.gate,0.9319073083778616,0.06809269162213838,0.9611016281512605,0.038898371848739455,7616.0
int4,model.layers.0.mlp.gate,0.9208301502418728,0.07916984975812724,0.9550124737394958,0.044987526260504174,7616.0
int4,model.layers.1.mlp.gate,0.8882024021729379,0.11179759782706211,0.9360392594537815,0.06396074054621848,7616.0
int4,model.layers.10.mlp.gate,0.8273241522715813,0.1726758477284187,0.8973870798319328,0.10261292016806722,7616.0
int4,model.layers.11.mlp.gate,0.8408562434297197,0.15914375657028035,0.9054950105042017,0.09450498949579833,7616.0
int4,model.layers.12.mlp.gate,0.8335104554641849,0.1664895445358151,0.9007845325630253,0.09921546743697474,7616.0
int4,model.layers.13.mlp.gate,0.8434241878569121,0.1565758121430879,0.9085477941176471,0.09145220588235292,7616.0
int4,model.layers.14.mlp.gate,0.8302080680756628,0.16979193192433717,0.8993237920168067,0.10067620798319332,7616.0
int4,model.layers.15.mlp.gate,0.8241029395440658,0.17589706045593423,0.895171349789916,0.10482865021008403,7616.0
int4,model.layers.16.mlp.gate,0.8252252707609365,0.17477472923906345,0.8949908088235294,0.10500919117647056,7616.0
int4,model.layers.17.mlp.gate,0.8304088884970752,0.16959111150292483,0.8976332720588235,0.10236672794117652,7616.0
int4,model.layers.18.mlp.gate,0.8158732607261509,0.18412673927384915,0.8875393907563025,0.1124606092436975,7616.0
int4,model.layers.19.mlp.gate,0.8280901288253774,0.17190987117462264,0.8967633928571429,0.1032366071428571,7616.0
int4,model.layers.2.mlp.gate,0.8648151276827255,0.1351848723172745,0.9200039390756303,0.07999606092436973,7616.0
int4,model.layers.20.mlp.gate,0.8152853507369849,0.18471464926301506,0.8893776260504201,0.11062237394957986,7616.0
int4,model.layers.21.mlp.gate,0.8178062367137543,0.1821937632862457,0.8901982668067226,0.10980173319327735,7616.0
int4,model.layers.22.mlp.gate,0.8016211321357944,0.19837886786420555,0.8786928834033614,0.12130711659663862,7616.0
int4,model.layers.23.mlp.gate,0.8089717967606165,0.19102820323938352,0.8832884716386554,0.11671152836134457,7616.0
int4,model.layers.24.mlp.gate,0.8038749124357908,0.1961250875642092,0.8819918592436975,0.1180081407563025,7616.0
int4,model.layers.25.mlp.gate,0.8271351081224535,0.1728648918775465,0.8969603466386554,0.10303965336134457,7616.0
int4,model.layers.26.mlp.gate,0.82283345739223,0.17716654260776998,0.8931853991596639,0.10681460084033612,7616.0
int4,model.layers.27.mlp.gate,0.8254986201939495,0.17450137980605052,0.8955816701680672,0.10441832983193278,7616.0
int4,model.layers.28.mlp.gate,0.8232216721186836,0.17677832788131642,0.8923483455882353,0.10765165441176472,7616.0
